address,latitude,longitude,population,households,huff_1.0,huff_1.2,huff_1.5,huff_1.8,huff_2.0
宮崎県宮崎市学園木花台南二丁目,31.826445,131.4244042,549,227,0.04696829705266414,0.05125486146697624,0.0576556439744583,0.06309480166441281,0.06621083946654552
宮崎県宮崎市学園木花台桜一丁目,31.827549,131.419917,1664,1306,0.047323645033295614,0.05165124280169824,0.05787025262495219,0.06323091055067903,0.06626463266483598
宮崎県宮崎市学園木花台桜二丁目,31.82527,131.414293,1478,1026,0.046811879526270944,0.05106146347251928,0.05662350337163648,0.06170872876489128,0.06454822321253252
宮崎県宮崎市学園木花台西一丁目,31.8294425,131.4132168,608,319,0.04780572624734405,0.05217802307156055,0.05798347865575325,0.06312779792876498,0.06595895505394762
宮崎県宮崎市学園木花台西二丁目,31.832721,131.414334,55,54,0.04865234080433671,0.053133662176634545,0.059353559569386614,0.06464082800198172,0.06753980921251733
宮崎県宮崎市宮の元町,31.888492,131.42801,131,65,0.10133324896200085,0.11679035688938544,0.13667045625499996,0.15277450040770002,0.1616161894158933
宮崎県宮崎市宮崎駅東一丁目,31.9137121,131.4341153,256,170,0.1356847455029826,0.1691698632893766,0.21894173703471392,0.2650935877312996,0.29264320414336026
宮崎県宮崎市宮崎駅東三丁目,31.919049,131.433724,975,478,0.19767631303216576,0.2622950981270853,0.357322108650871,0.4422877172045377,0.4921531759462303
宮崎県宮崎市宮崎駅東二丁目,31.9167207,131.4339245,184,113,0.17992125926936528,0.22340260270273513,0.27966971827388204,0.3219815839599767,0.34288247300811153
宮崎県宮崎市宮田町,31.911694,131.426048,332,194,0.10300225977693966,0.12584561552123605,0.16142230340592117,0.19784471048344118,0.22207435022571337
宮崎県宮崎市宮脇町,31.9144557,131.4369642,441,233,0.11006297542482733,0.13355180508737863,0.1677885905943369,0.19968828052754897,0.2192157831432105
宮崎県宮崎市小山田上倉（穆佐）,,,23,4,,,,,
宮崎県宮崎市小山田小山田（穆佐）,,,355,156,,,,,
宮崎県宮崎市小山田麓（穆佐）,,,313,115,,,,,
宮崎県宮崎市小戸町,31.9028751,131.4533821,809,389,0.08019769068402821,0.09735512806867347,0.12275326526566196,0.14687017047278447,0.16188437657048885
宮崎県宮崎市小松台北町,31.935218,131.393914,915,391,0.1755047305168559,0.24575477859957529,0.36980736262976666,0.5019733660736888,0.585859253797285
宮崎県宮崎市小松台南町,31.926817,131.391972,472,176,0.1418938904943209,0.1763495602401294,0.22446540408195798,0.2640933792944498,0.2848741859215781
宮崎県宮崎市小松台東一丁目,31.9310252,131.3968458,618,252,0.11494847066516567,0.14069470747454838,0.1915101039329035,0.24327164299909085,0.2767343134979845
宮崎県宮崎市小松台東三丁目,31.9281923,131.3924405,484,203,0.1295017170498523,0.16489969057264492,0.22475297924445617,0.2826488457224591,0.31828939969727993
宮崎県宮崎市小松台東二丁目,31.9294538,131.3949028,606,247,0.12633780741239026,0.15476614900463873,0.20426690559793848,0.2560170531186967,0.28807033951524696
宮崎県宮崎市小松台西一丁目,31.932766,131.394905,210,79,0.15215918952163068,0.20773824860546358,0.3041319520584213,0.40785306565831764,0.47611692861619853
